generacion	nodo	recorrido					ciudades
2			93		147.08860776808393			[1, 14, 17, 13, 2, 25, 6, 21, 16, 9, 19, 15, 24, 12, 4, 7, 22, 5, 20, 23, 8, 3, 10, 18, 11, 1]
2			94		123.82649274364883			[1, 17, 6, 21, 19, 24, 2, 7, 9, 5, 14, 10, 20, 8, 12, 15, 13, 16, 4, 25, 23, 18, 3, 22, 11, 1]
2			95		136.84654895221175			[1, 3, 2, 15, 22, 19, 7, 14, 18, 11, 5, 23, 12, 20, 10, 21, 16, 6, 24, 4, 8, 25, 17, 9, 13, 1]
2			96		149.2093196049847			[1, 3, 18, 23, 15, 17, 22, 12, 7, 24, 5, 20, 6, 8, 4, 2, 10, 13, 14, 16, 19, 9, 21, 25, 11, 1]
2			97		145.97624416656586			[1, 4, 25, 6, 23, 17, 20, 18, 14, 3, 21, 10, 16, 22, 15, 11, 7, 24, 12, 5, 9, 2, 19, 8, 13, 1]
2			98		137.2267161321269			[1, 4, 13, 2, 18, 9, 20, 14, 21, 12, 23, 3, 7, 5, 11, 24, 15, 22, 8, 6, 19, 25, 10, 16, 17, 1]
2			99		137.8689085340483			[1, 22, 24, 12, 5, 21, 10, 19, 8, 3, 7, 9, 2, 23, 17, 15, 25, 13, 4, 11, 18, 6, 20, 16, 14, 1]
2			100		117.91936010373502			[1, 23, 4, 20, 21, 10, 5, 7, 22, 9, 13, 6, 12, 17, 8, 15, 14, 18, 24, 25, 19, 2, 3, 16, 11, 1]
 ==== ORDENADOS ==== 
2			1		99.51375983551046			[1, 23, 25, 12, 3, 17, 9, 14, 10, 19, 11, 8, 15, 2, 4, 22, 18, 13, 6, 20, 21, 24, 16, 5, 7, 1]
2			2		99.51375983551046			[1, 23, 25, 12, 3, 17, 9, 14, 10, 19, 11, 8, 15, 2, 4, 22, 18, 13, 6, 20, 21, 24, 16, 5, 7, 1]
